Region,Date,Location,Province,Type of attack,"Confirmed/possible US attack?",Drone strike,Minimum number of strikes,Maximum number of strikes,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link,
Abyan,24/08/2011,Arkoub,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,6,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM022,
Abyan,25/08/2011,Wadi Hassan,Abyan,Airstrike,Possible,0,1,1,8,8,0,0,0,0,3,3,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM023,
Abyan,31/08/2011,Unknown,Abyan,Airstrike,Confirmed,0,2,2,30,30,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM024,
Abyan,5/9/11,Jaar,Abyan,Airstrike,Possible,0,1,1,3,7,3,7,0,0,4,4,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM025,
Abyan,5/9/11,Jaar,Abyan,Airstrike,Possible,0,2,2,9,11,1,1,1,1,2,2,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM026,
Abyan,7/9/11,Mahfed,Abyan,Drone strike,Confirmed,1,2,3,3,10,0,0,0,0,2,24,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM027,
Abyan,21/09/2011,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM028,
Abyan,21/09/2011,Shaqra,Abyan,Airstrike,Possible,0,1,1,6,7,0,0,0,0,3,3,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM029,
Al Jawf,30/09/2011,Unknown,Jawf,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM030,
Abyan,5/10/11,Al Arqoub,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,5,5,0,0,0,0,7,7,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM031,
Shabwah,14/10/2011,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM032,
Shabwah,14/10/2011,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,7,9,2,2,2,2,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM033,
??,14/10/2011,Unknown,Southern Yemen,"AirstrikePossible drone strike",Possible,1,1,1,15,17,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM034,
Shabwah,14/10/2011,Azzan,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,2,2,1,2,1,1,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM035,
Abyan,22/12/2011,Zinjibar,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM036,
Abyan,31/01/2012,Lawder,Abyan,Drone strike,Confirmed,1,1,1,10,14,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM037,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#
Abyan,31/01/2012,Unknown,Abyan,Airstrike,Confirmed,0,3,3,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM038,
Al Bayda',9/3/12,Unknown,Bayda,Drone strike,Confirmed,1,1,1,23,34,2,2,0,0,0,55,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM039,
Abyan,10/3/12,Jaar and Zinjibar,Abyan,Drone strike,Confirmed,1,2,2,24,24,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM040,
Abyan,11/3/12,"Jebel KhanfarNear Jaar",Abyan,Drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM041,
Al Bayda',13/03/2012,Unknown,Bayda,Drone strike,Confirmed,1,1,7,4,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM042,
Abyan,18/03/2012,Zinjibar,Abyan,"AirstrikePossible naval bombardmentPossible drone strike",Possible,1,1,2,14,18,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM043,
Abyan,18/03/2012,Jaar,Abyan,Airstrike,Possible,0,1,1,8,8,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM044,
Abyan,22/03/2012,Zinjibar,Abyan,"Drone strikePossible naval bombardment",Confirmed,1,3,4,29,30,0,0,0,0,24,24,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM045,
Shabwah,30/03/2012,Azzan,Shabwa,Drone strike,Confirmed,1,2,2,5,5,1,1,0,0,6,9,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM046,
Shabwah,7/4/12,Unknown,Shabwa,Drone strike,Confirmed,1,1,1,0,8,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM047,
Abyan,8/4/12,Unknown,Abyan,"Airstrike - joint Yemeni and USPossible drone strike",Possible,1,2,2,16,16,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM048,
Abyan,11/4/12,Lawder,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,10,14,0,0,0,0,10,10,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM049,
Al Bayda',14/04/2012,Al Zahir,Bayda,Drone strike,Confirmed,1,1,1,3,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM050,
Shabwah,16/04/2012,Azzan,Shabwa,Drone strike,Confirmed,1,1,5,5,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM051,
Abyan,18/04/2012,Lawder and Jaar,Abyan,"AirstrikePossible drone strike",Possible,1,1,3,6,10,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM052,
Abyan,21/04/2012,Lawder,Abyan,"AirstrikePossible drone strike",Possible,1,2,2,12,17,0,0,0,0,0,5,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM053,
Ma'rib,22/04/2012,Sanda,Marib,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM054,
Shabwah,23/04/2012,Nasab,Shabwa,"AirstrikePossible drone strike",Confirmed,1,1,1,3,3,0,0,0,0,2,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM055,
Abyan,23/04/2012,Lawder,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,0,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM056,
Abyan,26/04/2012,Moudia,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM057,
Al Jawf,29/04/2012,Unknown,Jawf,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM058,
Abyan,30/04/2012,Lawder,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM059,
Abyan,30/04/2012,Jaar,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM060,
Abyan,2/5/12,Zinjibar,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,10,15,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM061,
Shabwah,6/5/12,Wadi Rafad,Shabwa,Drone strike,Confirmed,1,1,1,2,4,1,1,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM062,
Abyan,10/5/12,Jaar,Abyan,"AirstrikePossible naval bombardmentPossible drone strike",Possible,1,2,2,5,12,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM063,
Abyan,10/5/12,Shaqra,Abyan,"AirstrikePossible naval bombardmentPossible drone strike",Possible,1,1,1,2,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM064,
Ma'rib,12/5/12,Al Hosoon,Marib,Drone strike,Confirmed,1,1,1,6,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM065,
??,12/5/12,Unknown,Between Marib and Shabwa,Drone strike,Confirmed,1,1,1,10,10,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM066,
??,12/5/12,Al Ain,Shabwa/Hadramout,"AirstrikePossible drone strike",Possible,1,1,1,6,10,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM067,
Abyan,14/05/2012,Shaqra,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,10,10,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM068,
Abyan,14/05/2012,Lawder,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,6,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM069,
Abyan,14/05/2012,Jaar,Abyan,Airstrike,Possible,0,1,1,0,0,0,0,0,0,2,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM070,
Abyan,15/05/2012,Jaar,Abyan,"AirstrikePossible drone strike",Possible,1,2,4,14,42,14,26,0,0,20,21,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM071,
Abyan,16/05/2012,Moudia,Abyan,"AirstrikePossible naval bombardmentPossible drone strike",Possible,1,1,2,16,16,0,0,0,0,5,14,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM072,
Hadramawt,17/05/2012,Shibam,Hadhramout,Drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM073,
Abyan,17/05/2012,Shaqra,Abyan,Airstrike,Possible,0,1,1,5,6,0,2,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM074,
Abyan,19/05/2012,Jaar,Abyan,Airstrike,Possible,0,1,1,3,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM075,
Al Bayda',19/05/2012,Unknown,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,2,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM076,
Abyan,20/05/2012,Jaar,Abyan,Airstrike,Possible,0,1,1,0,9,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM077,
Al Bayda',28/05/2012,Manaseh,Bayda,Drone strike,Confirmed,1,1,1,3,5,0,2,0,0,4,4,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM078,
Abyan,28/05/2012,Mukalla,Abyan,"AirstrikePossible naval bombardmentPossible drone strike",Possible,1,1,1,5,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM079,
Abyan,1/6/12,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,11,12,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM080,
Abyan,7/6/12,Moudia,Abyan,Airstrike,Possible,0,1,1,2,2,0,0,0,0,7,7,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM081,
Abyan,7/6/12,Jaar,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM082,
Abyan,7/6/12,Jaar,Abyan,Airstrike,Possible,0,1,1,5,5,0,0,0,0,3,3,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM083,
Shabwah,11/6/12,Azzan,Shabwa,Airstrike,Possible,0,1,1,16,16,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM084,
Abyan,13/06/2012,Jaar,Abyan,"AirstrikePossible drone strike",Possible,1,1,4,10,18,0,0,0,0,1,1,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM085,
Shabwah,13/06/2012,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,9,9,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM086,
Shabwah,15/06/2012,Azzan,Shabwa,Airstrike,Possible,0,1,1,5,5,0,0,0,0,2,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM087,
Abyan,15/06/2012,Shaqra,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,5,7,5,7,4,6,4,5,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM088,
Shabwah,19/06/2012,Unknown,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM089,
Abyan,20/06/2012,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,1,1,1,1,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM090,
Al Bayda',20/06/2012,Al Yafea,Bayda,Airstrike,Possible,0,6,6,5,30,0,0,0,0,6,6,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM091,
Abyan,25/06/2012,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM092,
Shabwah,3/7/12,Bayhan,Shabwa,Drone strike,Confirmed,1,1,1,2,5,0,0,0,0,2,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM093,
Abyan,4/7/12,Mahfed,Abyan,Airstrike,Possible,0,1,4,3,13,0,0,0,0,7,7,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM094,
Abyan,23/07/2012,Mahfed,Abyan,Airstrike,Possible,0,1,1,5,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM095,
Hadramawt,4/8/12,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,3,5,0,0,0,0,2,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM096,
Al Bayda',6/8/12,Radaa,Bayda,Drone strike,Confirmed,1,1,1,7,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM097,
Hadramawt,7/8/12,Al Qotn,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,1,2,3,0,0,0,0,2,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM098,
Hadramawt,28/08/2012,Qahb al-Hisan,Hadhramout,Drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM099,
Hadramawt,29/08/2012,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,5,5,2,2,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM100,
Hadramawt,31/08/2012,Hawda,Hadhramout,Drone strike,Confirmed,1,1,1,8,8,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM101,
Al Bayda',2/9/12,Radaa,Bayda,"US airstrikePossible drone strike",Confirmed,0,1,1,12,12,12,12,3,3,4,11,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM102,
??,5/9/12,Al Ain,Shabwa/Hadramout,Drone strike,Confirmed,1,1,1,4,6,1,4,0,0,3,3,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM103,
??,10/9/12,Al Ain,Shabwa/Hadramout,Drone strike,Confirmed,1,1,2,6,15,0,0,0,0,3,3,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM104,
Abyan,20/09/2012,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,2,2,4,0,0,0,0,3,3,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM105,
Shabwah,4/10/12,Al Saeed,Shabwa,Drone strike,Confirmed,1,1,2,3,6,0,0,0,0,2,4,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM106,
Abyan,18/10/2012,Jaar,Abyan,Drone strike,Confirmed,1,2,3,7,9,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM107,
Ma'rib,21/10/2012,Maarib,Marib,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM108,
Sa`dah,28/10/2012,Wadi al Abu Jabara,Saada,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,1,1,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM109,
Sana'a,7/11/12,Beit al Ahan,Sanaa,Drone strike,Confirmed,1,1,1,2,2,0,0,0,0,2,3,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM110,
Al Bayda',24/12/2012,Manaseh,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,2,3,0,0,0,0,3,3,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM111,
Hadramawt,24/12/2012,Shehr,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,3,3,7,0,0,0,0,1,1,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM112,
Hadramawt,28/12/2012,Shehr,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,2,2,3,0,0,0,0,0,1,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM113,
Al Bayda',29/12/2012,Manaseh,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,3,4,0,0,0,0,0,2,www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM114,
Shabwah,1/1/13,Unknown,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM115,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#
Al Bayda',4/1/13,Radaa,Bayda,Drone strike,Confirmed,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM116,
Ma'rib,19/01/2013,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM117,
Ma'rib,19/01/2013,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,2,4,0,3,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM118,
Ma'rib,19/01/2013,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,4,6,0,4,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM119,
Ma'rib,20/01/2013,Al Kanais,Marib,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM120,
Ma'rib,21/01/2013,Nakhla,Marib,Drone strike,Confirmed,1,1,1,2,4,0,0,0,0,2,2,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM121,
Al Jawf,22/01/2013,Al Boka,Jawf,Drone strike,Confirmed,1,1,1,3,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM122,
Sana'a,23/01/2013,Khawlan,Sanaa,Drone strike,Confirmed,1,1,1,4,4,2,2,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM123,
Al Bayda',23/01/2013,Qayfa,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,3,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM124,
Dhamar,17/04/2013,Wassab al Ali,Damar,Drone strike,Confirmed,1,1,1,4,4,0,4,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM125,
Ma'rib,21/04/2013,Wadi Abida,Marib,"AirstrikePossible drone strike",Possible,1,1,1,2,2,0,0,0,0,2,3,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM126,
Abyan,18/05/2013,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,4,9,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM127,
