Region,Date,Village/local area,X,Y,District,Province,Type of attack,Reportedly drone?,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link
Kunar,12/4/15,Unknown,375,130,Dara I Pech,Kunar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#13
Kunar,2/1/16,Shaltan Darra,375,130,Shegal,Kunar,US strike,1,5,5,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#140
Kunar,4/2/16,Shiltan,375,130,Shegal,Kunar,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#167
Kunar,9/1/16,Unknown,375,130,Shegal,Kunar,US strike,1,10,10,1,1,1,1,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#146
Kunar,14/06/2015,Unknown,375,130,Dangam,Kunar,US strike,1,7,15,0,5,0,5,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#35
Kunar,16/05/2016,Gandeel,375,130,Watapor,Kunar,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#197
Kunar,18/03/2015,Unknown,375,130,Chinar Khor,Kunar,US strike,0,0,0,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#126
Kunar,18/06/2015,Unknown,375,130,Chazi Abad,Kunar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#132
Kunar,21/05/2015,Katar village,375,130,Watapor,Kunar,US strike,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#22
Kunar,24/03/2015,Unknown,375,130,Kunar,Kunar,US strike,1,11,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#11
Kunar,28/04/2015,Degal,375,130,Chapa Darre,Kunar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#14
Kunar,28/05/2015,Unknown,375,130,Watapor,Kunar,US strike,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#24
Kunar,28/10/2016,Aligal village,375,130,Ghaziabad,Kunar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#286
Kunar,29/10/2015,Unknown,375,130,Ghazi Abad,Kunar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#106
