Region,Date,Village/local area,X,Y,District,Province,Type of attack,Reportedly drone?,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link
Nangarhar,8/8/15,Gorgori,360,145,Haska Mina,Nangarhar,US strike,1,10,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#65
Nangarhar,8/11/15,Gulai,360,145,Ghanikhil,Nangarhar,US strike,1,3,3,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#110
Nangarhar,8/12/15,Ador,360,145,Khogyani,Nangarhar,US strike,1,11,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#118
Nangarhar,9/5/15,Machi Megi,360,145,Lal Pura,Nangarhar,US strike,1,13,13,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#19
Nangarhar,9/8/15,Unknown,360,145,Nazyan,Nangarhar,US strike,1,2,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#66
Nangarhar,10/3/15,Mamond,360,145,Achin,Nangarhar,US strike,0,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#81
Nangarhar,10/7/15,"Unknown",360,145,Achin,Nangarhar,US strike,1,30,31,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#54
Nangarhar,11/1/15,Chikanawr,360,145,Lal Pura,Nangarhar,US strike,1,8,8,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#78
Nangarhar,11/2/15,Unknown,360,145,Nazyan,Nangarhar,US strike,0,2,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#9
Nangarhar,12/7/15,Maidnak and Chehal Gazi,360,145,Achin,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#56
Nangarhar,1/2/16,Momand,360,145,Achin,Nangarhar,US strike,1,21,29,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#163
Nangarhar,2/2/16,Bandar,360,145,Achin,Nangarhar,US strike,1,3,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#165
Nangarhar,3/7/16,Mamond and Pekha,360,145,Achin,Nangarhar,US strike,1,19,19,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#231
Nangarhar,3/7/16,Wazir,360,145,Khogyani,Nangarhar,US strike,1,11,11,0,0,0,0,3,5,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#232
Nangarhar,4/10/16,Abdul Khel,360,145,Achin,Nangarhar,US strike,1,13,13,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#276
Nangarhar,5/2/16,Unknown,360,145,Achin,Nangarhar,US strike,1,16,16,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#168
Nangarhar,5/3/16,Mamond Dara,360,145,Achin,Nangarhar,US strike,1,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#178
Nangarhar,5/4/16,Unknown,360,145,Kot,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#184
Nangarhar,5/7/16,Unknown,360,145,Kot,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#233
Nangarhar,7/4/16,Unknown,360,145,Achin,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#185
Nangarhar,7/4/16,Unknown,360,145,Dehrawood,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#186
Nangarhar,8/1/16,"Maktab village, Pekha",360,145,Achin,Nangarhar,US strike,1,17,20,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#142
Nangarhar,8/2/16,Bazaar,360,145,Achin,Nangarhar,US strike,1,11,11,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#169
Nangarhar,8/7/16,Unknown,360,145,Achin,Nangarhar,US strike,1,16,16,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#234
Nangarhar,8/10/16,Unknown ,360,145,Achin and Deh Bala ,Nangarhar,US strike ,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#279
Nangarhar,9/1/16,Unknown,360,145,Achin,Nangarhar,US strike,1,20,20,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#145
Nangarhar,9/7/16,Mamond Dara,360,145,Achin,Nangarhar,US strike,1,4,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#235
Nangarhar,9/7/16,Unknown,360,145,Kot,Nangarhar,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#236
Nangarhar,9/11/16,Mamandara area,360,145,Achin ,Nangarhar,US strike,1,11,14,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#291
Nangarhar,11/6/16,Sargardan,360,145,Hesarak,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#214
Nangarhar,11/6/16,Ghwagezai,360,145,Hesarak,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#216
Nangarhar,11/7/16,Unknown,360,145,Achin,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#238
Nangarhar,11/11/16,Mamandara and Moragi areas,360,145,Achin ,Nangarhar ,US strike ,0,13,14,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#293
Nangarhar,11/12/16,Langari,360,145,Haska Mena,Nangarhar,US strike,1,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#298
Nangarhar,12/5/16,Zarmakhel,360,145,Pacheragam,Nangarhar,US strike,0,1,1,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#202
Nangarhar,12/11/16,Lataband area,360,145,Achin,Nangarhar ,US strike,1,13,13,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#292
Nangarhar,1/2/17,Unknown,360,145,Achin,Nangarhar,US strike,1,2,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/313
Nangarhar,1/3/17,Chaknoro,360,145,Lal Pura,Nangarhar,US strike,1,6,6,0,0,0,0,1,1,
Nangarhar,3/2/17,Unknown,360,145,Achin and Haska Mina ,Nangarhar ,US strike ,1,21,21,0,0,0,0,6,6,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/316
Nangarhar,6/2/17,Char Wazi area,360,145,Haska Mena,Nangarhar,US strike ,1,2,2,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/318
Nangarhar,8/2/17,Pekhar Khor area and Nari Oba area,360,145,Achin and Haska Mena ,Nangarhar,US strike ,1,11,11,0,0,0,0,6,6,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/319
Nangarhar,9/3/17,Lam,360,145,Between Nish and Khakriz districts,Kandahar,US strike,0,20,20,0,0,0,0,0,0,
Nangarhar,13/03/2015,Unknown,360,145,Lal Pura,Nangarhar,US strike,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#82
Nangarhar,13/07/2016,Mamond Dara,360,145,Achin,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#239
Nangarhar,13/07/2016,"Kharawa, Landai and Kochiano-ghnodai",360,145,Achin,Nangarhar,US strike,1,26,26,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#240
Nangarhar,13/08/2016,Pekha,360,145,Achin,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#257
Nangarhar,13/09/2015,Marsangi,360,145,Lal Pura,Nangarhar,US strike,1,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#84
Nangarhar,13/10/2015,Unknown,360,145,Nangarhar,Nangarhar,US strike,0,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#98
Nangarhar,14/01/2016,"Abdulkhelo area, Bandar locality",360,145,Achin,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#149
Nangarhar,14/04/2016,Unknown,360,145,Achin,Nangarhar,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#190
Nangarhar,14/05/2015,Unknown,360,145,"Bati Kot",Nangarhar,US strike,1,4,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#20
Nangarhar,14/06/2016,Karkanai,360,145,Achin,Nangarhar,US strike,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#217
Nangarhar,14/07/2015,"Unknown",360,145,"Haska Mina",Nangarhar,US strike,1,28,28,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#55
Nangarhar,14/07/2016,Bandar Khwar and Dah Sarak,360,145,Achin,Nangarhar,US strike,1,12,12,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#241
Nangarhar,14/07/2016,Peera Khel,360,145,Khogyani,Nangarhar,US strike,1,4,4,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#248
Nangarhar,14/11/2015,Landi Kambo,360,145,Khogyani,Nangarhar,US strike,1,12,13,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#111
Nangarhar,15/02/2016,Unknown,360,145,Nazyan,Nangarhar,US strike,0,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#179
Nangarhar,15/05/2015,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin",360,145,"Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin",Nangarhar,US strike,1,5,41,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#21
Nangarhar,15/06/2016,Karkanai,360,145,Achin,Nangarhar,US strike,1,21,21,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#237
Nangarhar,15/12/2016,Kharga ,360,145,Haska Mena,Nangarhar,US strike ,1,4,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#299
Nangarhar,16/01/2015,Unknown,360,145,Nazyan,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#7
Nangarhar,16/01/2016,Unkown,360,145,Deh Bala,Nangarhar,US strike,0,17,17,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#150
Nangarhar,16/01/2016,Shabi Tangi,360,145,Haska Mena,Nangarhar,US strike,1,22,22,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#151
Nangarhar,16/07/2015,Unknown,360,145,"Haska Mina",Nangarhar,US strike,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#58
Nangarhar,16/07/2016,Unknown,360,145,Achin,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#244
Nangarhar,16/07/2016,Spin Zaea,360,145,Nazyano,Nangarhar,US strike,1,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#243
Nangarhar,17/01/2015,Unknown,360,145,Lal Pura,Nangarhar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#121
Nangarhar,17/09/2015,Melawe,360,145,Nazyan,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#86
Nangarhar,17/11/2015,Unknown,360,145,Behsood,Nangarhar,US strike,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#112
Nangarhar,18/02/2015,Fathi Khani,360,145,Khogyani,Nangarhar,US strike,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#79
Nangarhar,18/03/2017,Unknown ,360,145,Nangarhar,Nangarhar ,US strike,0,0,0,0,0,0,0,0,0,
Nangarhar,19/01/2015,Unknown,360,145,Khugyani,Nangarhar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#122
Nangarhar,19/01/2016,Deh Sarak,360,145,Achin,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#152
Nangarhar,19/01/2016,Deh Sarak,360,145,Achin,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#153
Nangarhar,19/03/2017,Unknown ,360,145,Nangarhar,Nangarhar ,US strike,0,0,0,0,0,0,0,0,0,
Nangarhar,19/04/2016,Shadal,360,145,Achin,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#191
Nangarhar,19/06/2015,Kamar Kandaw,360,145,Haska Meena,Nangarhar,US strike,1,4,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#37
Nangarhar,19/06/2015,Unknown,360,145,Mohmand Dara,Nangarhar,US strike,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#36
Nangarhar,19/07/2016,Bandar,360,145,Achin,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#246
Nangarhar,19/12/2015,Unknown,360,145,Bati Kot,Nangarhar,US air and ground operations,1,3,3,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#135
Nangarhar,20/04/2016,Unknown,360,145,Achin,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#192
Nangarhar,20/07/2016,Unknown,360,145,Achin,Nangarhar,US strike,1,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#247
Nangarhar,20/11/2016,Mamandari ,360,145,Achin ,Nangarhar ,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#295
Nangarhar,21/03/2016,Khwargai,360,145,Kot,Nangarhar,US strike,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#180
Nangarhar,21/06/2015,Barikaab Dab,360,145,Bati Kot,Nangarhar,US strike,1,6,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#38
Nangarhar,22/01/2016,Abdulkhel area,360,145,Achin,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#156
Nangarhar,22/01/2016,Gorgori,360,145,Haska Mena,Nangarhar,US strike,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#157
Nangarhar,22/01/2016,Unknown,360,145,Nangarhar,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#155
Nangarhar,22/02/2016,Pekha Khwar,360,145,Achin,Nangarhar,US strike,1,22,25,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#171
Nangarhar,22/03/2016,Janajal Ghondie,360,145,Kot,Nangarhar,US strike,1,2,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#181
Nangarhar,22/03/2016,Bandar,360,145,Kot,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#182
Nangarhar,22/05/2016,Karkani,360,145,Achin,Nangarhar,US strike,1,9,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#204
Nangarhar,22/06/2016,Pir Shah Khelo,360,145,Kot,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#221
Nangarhar,22/08/2016,Unknown,360,145,Kot,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#260
Nangarhar,22/09/2016,Tawar Tangi,360,145,Hesarak,Nangarhar,US strike ,0,18,18,0,0,0,0,6,6,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#272
Nangarhar,22/09/2016,Spinajai ,360,145,Nazyan,Nangarhar,US strike ,0,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#271
Nangarhar,22/12/2015,28th canal area,360,145,Ghani Khel,Nangarhar,US air and ground operations,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#136
Nangarhar,23/01/2016,Bandar,360,145,Achin,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#158
Nangarhar,23/01/2016,Nargusi,360,145,Achin,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#159
Nangarhar,23/03/2015,Unknown,360,145,Nazyan,Nangarhar,US strike,1,9,13,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#10
Nangarhar,23/06/2016,Rahmati and Marsing,360,145,Lal Pura,Nangarhar,US strike,1,7,7,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#229
Nangarhar,23/07/2016,Unknown,360,145,Achin,Nangarhar,US strike,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#249
Nangarhar,23/07/2016,Unknown,360,145,Achin,Nangarhar,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#250
Nangarhar,23/10/2015,Mamand or Bandar,360,145,Achin,Nangarhar,US strike,0,8,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#101
Nangarhar,23/10/2015,Bandar,360,145,Achin,Nangarhar,US strike,0,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#102
Nangarhar,23/10/2015,Abdul Khel,360,145,Achin,Nangarhar,US strike,0,10,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#103
Nangarhar,23/10/2015,Unknown,360,145,Nazyan,Nangarhar,US strike,1,6,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#100
Nangarhar,23/12/2015,Atewishtama Wyala,360,145,Ghanikhel,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#138
Nangarhar,24/01/2016,Bandar Khwar,360,145,Achin,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#161
Nangarhar,24/01/2016,Gurguri,360,145,Deh Bala,Nangarhar,US strike,1,13,13,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#160
Nangarhar,24/11/2015,Unknown,360,145,Behsood,Nangarhar,US strike,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#115
Nangarhar,24/11/2015,Dabila,360,145,Mohmand Dara,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#114
Nangarhar,24/12/2016,Bandar,360,145,Achin,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#302
Nangarhar,24/12/2016,Ambarkhani,360,145,Bati Kot,Nangarhar,US strike,1,1,1,0,0,0,0,4,4,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#301
Nangarhar,25/01/2016,Unknown,360,145,Achin,Nangarhar,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#162
Nangarhar,26/03/2016,Unknown,360,145,Achin or Mamand Dara,Nangarhar,US strike,1,11,11,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#183
Nangarhar,26/05/2016,Sarobi,360,145,Achin,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#205
Nangarhar,26/05/2016,Unknown,360,145,Kot,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#207
Nangarhar,26/05/2016,Pirakhel,360,145,Wazir,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#206
Nangarhar,26/06/2016,Unknown,360,145,Kot,Nangarhar,US strike,1,30,30,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#224
