Region,Date,Location,X,Y,Area,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,link,Notes
North Waziristan Agency,2/10/10,Asar Village,320,108,North Waziristan,8,10,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob137,
North Waziristan Agency,2/10/10,Inzarkas,320,108,North Waziristan,7,14,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob138,
North Waziristan Agency,3/1/10,Mosaki,320,108,North Waziristan,5,5,1,2,1,1,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob54,
North Waziristan Agency,3/5/10,Machi Khel,320,108,North Waziristan,4,6,0,2,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob89,
North Waziristan Agency,3/9/10,Datta Khel,320,108,North Waziristan,2,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob115,
North Waziristan Agency,3/9/10,Miram Shah,320,108,North Waziristan,6,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob114,
North Waziristan Agency,3/11/10,Khaso Khel,320,108,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob155,
North Waziristan Agency,3/11/10,Pai Khel,320,108,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob156,
North Waziristan Agency,3/11/10,Qutab Khel,320,108,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob154,
North Waziristan Agency,4/9/10,Datta Khel,320,108,North Waziristan,7,8,0,0,0,0,12,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob116,
North Waziristan Agency,4/10/10,Mir Ali,320,108,North Waziristan,5,9,0,3,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob139,
North Waziristan Agency,6/1/10,Sanzali,320,108,North Waziristan,5,7,0,6,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob55,
North Waziristan Agency,6/1/10,Sanzali,320,108,North Waziristan,5,9,5,5,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob56,
North Waziristan Agency,6/9/10,Khar Qamar,320,108,North Waziristan,3,6,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob117,
