Region,Date,Location,X,Y,"Confirmed/possible US strike",Drone strike,Strike type,Minimum strikes,Maximum strikes,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link,
Jubbada Hoose,7/1/07,Ras Kamboni,230,250,Confirmed,0,Air assault - AC-130 Gunship,1,1,8,10,2,2,0,1,1,3,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM001,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#
Jubbada Hoose,9/1/07,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",230,250,Confirmed,0,Air assault - AC-130 Gunship,1,1,5,10,0,0,0,0,4,5,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM002,
Jubbada Hoose,9/1/07,Hayo,230,250,Possible,0,Air assault - helicopter,1,1,4,31,4,31,0,1,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM003,
Jubbada Hoose,3/3/08,Dhobley,230,250,Confirmed,0,"Naval operation - cruise missilePossible air operation - AC-130 Gunship",1,1,0,6,0,4,0,0,3,8,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM006,
Jubbada Hoose,3/4/11,Dhobley,230,250,Possible,0,Air operation - airstrike,1,1,1,36,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM009,
Jubbada Hoose,23/06/2011,Kismayo,230,250,Confirmed,1,"Air operation - drone strikeHelicopter raid",1,1,2,2,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM010,
Jubbada Hoose,25/09/2011,Kismayo,230,250,Possible,1,Air operation - drone strike,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM012,
Jubbada Hoose,11/4/16,Lower Juba,230,250,Confirmed,1,Air operation - drone strike,1,1,8,12,3,3,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM037,
Jubbada Hoose,26/09/2016,"Caba, near Kismayo",230,250,Confirmed,1,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM043,
Jubbada Dhexe,28/10/2013,"Jillib, Middle Juba",246,220,Confirmed,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM018,
Mudug,28/09/2016,"Galcayo, Galmudug ",343,126,Confirmed,1,Air operation - drone or airstrike,1,1,10,22,0,2,0,0,3,16,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM044,
Puntland,17/04/2012,"Gumh, Puntland",355,105,Possible,0,Air operation - airstrike,1,1,0,0,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM016,
Shabeellaha Hoose,14/09/2009,Barawe,280,205,Confirmed,0,"Air operation - helicopterGround assault - body retrieval",1,1,2,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM008,
Shabeellaha Hoose,14/11/2011,Afgoye,280,205,Possible,1,Air operation - drone strike,1,1,0,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM013,
Shabeellaha Hoose,24/02/2012,Lower Shabelle,280,205,Confirmed,1,Air operation - drone strike,1,1,3,7,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM015,
Shabeellaha Hoose,5/10/13,"Barawe, Shabeellaha Hoose",280,205,Confirmed,0,Ground operation - amphibious assault,1,1,1,7,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM017,
Shabeellaha Hoose,26/01/2014,"Hawai, Lower Shabelle",280,205,Confirmed,1,Air operation - drone strike,1,1,2,9,0,2,0,2,0,1,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM019,
Shabeellaha Hoose,1/8/14,"Barawe, Lower Shabelle",280,205,Confirmed,1,Air operation - drone strike,1,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM020,
Shabeellaha Hoose,31/01/2015,"Dugule, Lower Shabelle",280,205,Possible,1,Air operation - drone strike,1,1,40,60,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM022,
Shabeellaha Hoose,21/11/2015,"Balad Amin, Lower Shabelle",280,205,Confirmed,1,Air operation - drone strike,1,1,5,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM027,
Shabeellaha Hoose,2/12/15,"Kunyo-Barow, Lower Shabelle",280,205,Confirmed,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM029,
Shabeellaha Hoose,21/12/2015,"Kuntuwarey district, Lower Shabelle",280,205,Confirmed,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM030,
Shabeellaha Hoose,8/3/16,"Awdhegle, Lower Shabelle",280,205,Confirmed,0,Ground operation - Joint US-Somali helicopter assault,1,1,19,19,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM032,
Shabeellaha Hoose,12/5/16,"Afgoye, Lower Shabelle",280,205,Confirmed,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM038,
